자치구코드,시군구명,총생활인구수,대여건수,대여소_수,대여건수*대여소 수
11110,종로구,2336297451,465813,209,97354917
11140,중구,2136769254,289342,184,53238928
11170,용산구,2440060778,608798,159,96798882
11200,성동구,2979330434,1067534,146,155859964
11215,광진구,3104212342,1224908,141,172712028
11230,동대문구,3007720260,981500,127,124650500
11260,중랑구,3078592637,707316,122,86292552
11290,성북구,3643143939,768026,119,91395094
11305,강북구,2577277364,480408,106,50923248
11320,도봉구,2408412363,562494,106,59624364
11350,노원구,4450781822,1402036,104,145811744
11380,은평구,3812187656,751930,95,71433350
11410,서대문구,3097641181,633498,95,60182310
11440,마포구,3840847329,1509998,88,132879824
11470,양천구,3365477077,1302830,87,113346210
11500,강서구,4719217594,2492258,86,214334188
11530,구로구,3350118809,986434,86,84833324
11545,금천구,1915444112,419582,82,34405724
11560,영등포구,4013719089,2052772,81,166274532
11590,동작구,3306288689,620158,79,48992482
11620,관악구,4108477369,820350,76,62346600
11650,서초구,4867990374,941514,74,69672036
11680,강남구,6886596044,791864,72,57014208
11710,송파구,6439607996,2135812,71,151642652
11740,강동구,4406850932,974632,58,56528656
