행정동,위도,경도
가양1동,37.5694538,126.844587
가양2동,37.5673272,126.851269
가양3동,37.5610676,126.860449
공항동,37.5587623,126.81009
등촌1동,37.555804,126.85892
등촌2동,37.5426447,126.862498
등촌3동,37.5589075,126.847846
발산1동,37.5531302,126.833168
방화1동,37.570315,126.817044
방화2동,37.5666855,126.806696
방화3동,37.5786441,126.81382
우장산동,37.5482948,126.841768
염창동,37.5537366,126.870943
화곡본동,37.5440139,126.84765
화곡1동,37.5304639,126.84158
화곡2동,37.5318591,126.854406
화곡3동,37.5425689,126.838397
화곡4동,37.5345428,126.860771
화곡6동,37.5518105,126.850033
화곡8동,37.5326895,126.84851
