시설ID,컨텐츠 명,x 좌표,y 좌표,위도,경도
강서구_공기주입기_002,자전거 공기주입기,126.8595364,37.56063642,33.47809889,124.8477161
강서구_공기주입기_003,자전거 공기주입기,126.8710676,37.55364765,33.47809883,124.8477162
강서구_공기주입기_004,자전거 공기주입기,126.8512354,37.56718104,33.47809895,124.847716
강서구_공기주입기_005,자전거 공기주입기,126.8488257,37.55685416,33.47809885,124.847716
강서구_공기주입기_S009,자전거 공기주입기,126.8642444,37.55155942,33.47809881,124.8477162
강서구_공기주입기_S005,자전거 공기주입기,126.8063072,37.57248347,33.47809899,124.8477155
강서구_공기주입기_S006,자전거 공기주입기,126.8109039,37.56374824,33.47809891,124.8477156
강서구_공기주입기_006,자전거 공기주입기,126.8648751,37.55944507,33.47809888,124.8477162
강서구_공기주입기_011,자전거 공기주입기,126.851944,37.5690462,33.47809896,124.847716
강서구_공기주입기_S008,자전거 공기주입기,126.8464517,37.53187887,33.47809863,124.847716
강서구_공기주입기_009,자전거 공기주입기,126.849135,37.56456798,33.47809892,124.847716
강서구_공기주입기_S012,자전거 공기주입기,126.8273706,37.56521325,33.47809892,124.8477158
강서구_공기주입기_S004,자전거 공기주입기,126.79857,37.57866937,33.47809904,124.8477154
강서구_공기주입기_007,자전거 공기주입기,126.8635275,37.5395057,33.4780987,124.8477161
강서구_공기주입기_S002,자전거 공기주입기,126.8546488,37.56119005,33.47809889,124.847716
강서구_공기주입기_S016,자전거 공기주입기,126.8265265,37.55937338,33.47809887,124.8477157
강서구_공기주입기_008,자전거 공기주입기,126.8210849,37.56738217,33.47809894,124.8477157
강서구_공기주입기_S015,자전거 공기주입기,126.8250243,37.55959464,33.47809887,124.8477157
강서구_공기주입기_010,자전거 공기주입기,126.8734732,37.54725301,33.47809877,124.8477163
강서구_공기주입기_012,자전거 공기주입기,126.859678,37.54772544,33.47809877,124.8477161
강서구_공기주입기_S001,자전거 공기주입기,126.8555212,37.56111594,33.47809889,124.8477161
강서구_공기주입기_S010,자전거 공기주입기,126.8637351,37.55103841,33.4780988,124.8477161
강서구_공기주입기_S003,자전거 공기주입기,126.8522902,37.56241422,33.4780989,124.847716
강서구_공기주입기_S007,자전거 공기주입기,126.8466421,37.5321892,33.47809863,124.847716
강서구_공기주입기_S011,자전거 공기주입기,126.826947,37.56690986,33.47809894,124.8477157
강서구_공기주입기_S013,자전거 공기주입기,126.8245589,37.56042572,33.47809888,124.8477157
강서구_공기주입기_S014,자전거 공기주입기,126.8259065,37.56025203,33.47809888,124.8477157
강서구_공기주입기_S017,자전거 공기주입기,126.8386055,37.55893635,33.47809887,124.8477159
강서구_공기주입기_S019,자전거 공기주입기,126.8131167,37.57686548,33.47809903,124.8477156
강서구_공기주입기_S020,자전거 공기주입기,126.8120432,37.57706992,33.47809903,124.8477156
강서구_공기주입기_S018,자전거 공기주입기,126.8385801,37.55821232,33.47809886,124.8477159
강서구_공기주입기_S022,자전거 공기주입기,126.816843,37.56706138,33.47809894,124.8477156
강서구_공기주입기_S023,자전거 공기주입기,126.8157201,37.56741654,33.47809894,124.8477156
강서구_공기주입기_S032,자전거 공기주입기,126.8401972,37.54133413,33.47809871,124.8477159
강서구_공기주입기_S028,자전거 공기주입기,126.8361223,37.54874682,33.47809878,124.8477159
강서구_공기주입기_S029,자전거 공기주입기,126.8620689,37.55758331,33.47809886,124.8477161
강서구_공기주입기_S024,자전거 공기주입기,126.8409205,37.56886236,33.47809896,124.8477159
강서구_공기주입기_S031,자전거 공기주입기,126.8408943,37.54131267,33.47809871,124.8477159
강서구_공기주입기_S021,자전거 공기주입기,126.8096854,37.5616703,33.47809889,124.8477156
강서구_공기주입기_S025,자전거 공기주입기,126.8414587,37.56811049,33.47809895,124.8477159
강서구_공기주입기_S027,자전거 공기주입기,126.8365736,37.54827953,33.47809877,124.8477159
강서구_공기주입기_S026,자전거 공기주입기,126.8740209,37.54715733,33.47809877,124.8477163
강서구_공기주입기_S030,자전거 공기주입기,126.8403799,37.54203764,33.47809872,124.8477159
강서구_공기주입기_001,자전거 공기주입기,126.8498157,37.55105947,33.4780988,124.847716
