"대여소
번호",보관소(대여소)명,자치구,상세주소,위도,경도
1101,개화동상사마을종점 버스정류장,강서구,서울특별시 강서구 개화동로5길 3-8,37.58161163,126.7985992
1102,방화사거리 마을버스 버스정류장,강서구,서울특별시 강서구 양천로17길 6,37.57364273,126.8118057
1103,방화역 4번출구앞,강서구,서울특별시 강서구 금낭화로 135,37.57710648,126.8119965
1105,방화근린공원,강서구,서울특별시 강서구 금낭화로 176,37.58162308,126.8126526
1106,신방화사거리,강서구,서울특별시 강서구 방화대로 342,37.57303238,126.816452
1108,공항시장역 2번출구 뒤,강서구,서울특별시 강서구 방화동로 지하 30,37.56387329,126.8106079
1109,공항시장역 4번출구,강서구,서울특별시 강서구 방화동로 지하 30,37.56334686,126.8104858
1110,공항중학교앞,강서구,서울특별시 강서구 방화대로 241,37.56268311,126.8162384
1111,마곡엠밸리6_7단지 마곡중학교,강서구,서울특별시 강서구 마곡중앙5로 58,37.56698227,126.8218002
1112,마곡엠밸리4단지 정문,강서구,서울특별시 강서구 마곡서로 175,37.56857681,126.8247757
1113,서남환경공원 버스정류장,강서구,서울특별시 강서구 양천로 201,37.57312393,126.8223877
1117,등촌5단지아파트 버스정류장,강서구,서울특별시 강서구 공항대로 329,37.55819702,126.8442612
1118,증미역 3번출구뒤(등촌두산위브센티움오피스텔),강서구,서울특별시 강서구 양천로 지하 560,37.55746078,126.8614578
1119,염창동 한마음아파트 앞,강서구,서울특별시 강서구 양천로 637,37.55425262,126.8675613
1120,대림경동아파트앞,강서구,서울특별시 강서구 허준로 121,37.564785,126.8546448
1121,가양레포츠센터 앞,강서구,서울특별시 강서구 양천로61길 101,37.55947876,126.8643799
1122,황금내근린공원,강서구,서울특별시 강서구 허준로 221-40,37.56192398,126.8641663
1124,발산역 6번 출구 뒤,강서구,서울특별시 강서구 공항대로 280,37.55817795,126.8384552
1125,명덕고교입구(영종빌딩),강서구,서울특별시 강서구 강서로 304,37.55291367,126.8365707
1126,우장산역 1번출구옆(우장산아이파크105동앞),강서구,서울특별시 강서구 강서로 지하 262,37.54890823,126.8365631
1127,화곡역 버스정류장,강서구,서울특별시 강서구 화곡로 157,37.54098129,126.8385468
1128,화곡역 6번출구,강서구,서울특별시 강서구 화곡로 지하 168,37.54141235,126.8402252
1129,화곡역 1번 출구 앞,강서구,서울특별시 강서구 화곡로 지하 168,37.542099,126.8402176
1130,화곡본동시장 버스정류장,강서구,서울특별시 강서구 화곡로 196,37.54275131,126.8426209
1131,꿈돌이공원 앞,강서구,서울특별시 강서구 화곡로 232,37.54644394,126.845459
1132,등촌역 7번출구,강서구,서울특별시 강서구 공항대로 지하 529,37.55110931,126.8637085
1135,강서구의회,강서구,서울특별시 강서구 등촌로 185,37.54653168,126.8625488
1136,등촌2파출소,강서구,서울특별시 강서구 등촌로 167,37.54478836,126.8619995
1137,등촌2동주민센터,강서구,서울특별시 강서구 등촌로 143,37.54126358,126.8633728
1139,용문사 버스정류장,강서구,서울특별시 강서구 등촌로 95,37.53650665,126.8633347
1140,목동사거리 버스정류장,강서구,서울특별시 강서구 등촌로 19,37.53139877,126.8636093
1141,곰달래 문화복지센터 1-1,강서구,서울특별시 강서구 강서로5길 50,37.52906036,126.8484802
1145,곰달래 문화복지센터 1-2,강서구,서울특별시 강서구 강서로5길 50,37.52891922,126.8480835
1146,곰달래사거리,강서구,서울특별시 강서구 곰달래로 51,37.53033829,126.8382568
1148,볏골공원,강서구,서울특별시 강서구 까치산로4길 22,37.54146957,126.84478
1149,신방화역환승주차장,강서구,서울특별시 강서구 마곡서1로 111-12,37.56728363,126.8182755
1150,송정역 1번출구,강서구,서울특별시 강서구 공항대로3길 18,37.56153107,126.8106995
1151,마곡역1번출구,강서구,서울특별시 강서구 마곡동 727-716,37.56020737,126.8241425
1152,마곡역교차로,강서구,서울특별시 강서구 마곡동 728-168,37.55831146,126.8265228
1153,"발산역 1번, 9번 인근 대여소",강서구,서울특별시 강서구 공항대로 281,37.55894852,126.8371735
1155,기쁜우리복지관,강서구,서울특별시 강서구 가양동 1458-15 ,37.56925964,126.8484192
1157,강서구청,강서구,서울특별시 강서구 화곡로 302,37.55065918,126.8497696
1158,가양역 8번출구,강서구,서울특별시 강서구 양천로 지하 485,37.56103516,126.8548126
1159,서서울모터리움 앞,강서구,서울특별시 강서구 양천로53길 30,37.56585312,126.8465958
1160,양천향교역 7번출구앞,강서구,서울특별시 강서구 양천로 지하 341,37.56768036,126.8408966
1161,강서면허시험장 앞,강서구,서울특별시 강서구 남부순환로 171,37.54969406,126.819664
1162,공항초등학교건너편,강서구,서울특별시 강서구 마곡서1로 68,37.56267929,126.8204727
1163,방화동강서기동대앞,강서구,서울특별시 강서구 방화대로34길 65,37.57049942,126.8200836
1165,마곡중학교 후문,강서구,서울특별시 강서구 마곡중앙5로 58,37.56844711,126.8216476
1166,강서구립등빛도서관,강서구,서울특별시 강서구 강서로62길 48,37.56256866,126.8424606
1167,마곡수명산파크3단지 교차로,강서구,서울특별시 강서구 수명로 72,37.55350876,126.8258667
1168,마곡엠밸리10단지 앞,강서구,서울특별시 강서구 마곡중앙1로 72,37.56029129,126.8187561
1169,염창역 1번 출구,강서구,강서구 공항대로 625,37.54719925,126.8744888
1170,강서구보건소,강서구,강서구 공항대로 571 ,37.54917908,126.8687973
1171,염창동 새마을금고 건너편,강서구,강서구 양천로 696,37.55004883,126.8731613
1172,가양3동 주민센터,강서구,강서구 허준로 202,37.56124878,126.8605804
1173,강서구청사거리(SH타워),강서구,강서구 공항대로 411 ,37.55625916,126.8533173
1174,강서구청사거리(부민병원),강서구,강서구 공항대로 395 ,37.55661392,126.8511658
1175,대한항공 인력개발센터,강서구,강서구 공항대로 453 ,37.55437851,126.8575363
1177,수명중?고교,강서구,"강서구 수명로1길 16, 401동 앞",37.55010986,126.8236771
1178,개화산역 2번 출구,강서구,강서구 양천로 22,37.57247162,126.8061676
1180,마곡엠밸리 15단지(1502동) 건너편,강서구,강서구 마곡중앙로 36,37.55746841,126.8297195
1181,농수산식품공사 (강서지사),강서구,강서구 발산로 40,37.55104446,126.8184967
1182,KBS 스포츠월드,강서구,강서구 공항대로 376,37.55687714,126.8488083
1183,KC 대학교,강서구,강서구 까치산로 24길 47,37.54832077,126.8534012
1184,마곡13단지,강서구,강서구 공항동 1343,37.55644989,126.815979
1185,등촌9단지,강서구,강서구 화곡로 63가길 92 (등촌동 704),37.56290054,126.8494721
1186,송정중학교,강서구,강서구 공항동 1342,37.55472946,126.8160934
1187,강서수산물도매시장,강서구,강서구 외발산동 424,37.55302048,126.818367
1188,롯데중앙연구소,강서구,강서구 마곡동 301-3,37.57138062,126.8283386
1190,마곡역 교차로(2번출구),강서구,강서구 마곡동 727-747 ,37.5605011,126.8266525
1191,"마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)",강서구,강서구 마곡동 727-925,37.5602417,126.8271637
1192,마곡수명산파크 209동 건너편,강서구,강서구 내발산동 741-8,37.55545044,126.8268967
1193,마곡센트럴타워 1차,강서구,강서구 마곡동 727-1136,37.55947113,126.832077
1194,센서텍㈜,강서구,강서구 마곡동 727-457,37.56330109,126.8368225
1195,코오롱One&Only타워,강서구,강서구 마곡동 727-525,37.56412888,126.8343124
1196,서울식물원(문화센터) 건너편,강서구,강서구 마곡동 727-286,37.56824112,126.8358307
1197,엠펠리체 호텔 건너편,강서구,강서구 마곡동 727-1187,37.5602417,126.8358078
1198,LG 사이언스파크,강서구,강서구 마곡동 727-925,37.56254959,126.8274384
1199,우장산역 3번출구,강서구,강서구 화곡동 1006-2,37.54782104,126.8361282
1200,개화광역환승센터,강서구,강서구 개화동 492-22,37.57844925,126.7989731
2701,마곡나루역 5번출구 뒤편,강서구,강서구 마곡동 761-5,37.56520081,126.8273163
2702,마곡 엠밸리2단지,강서구,강서구 마곡동 735-1,37.56917953,126.8194428
2703,서울도시가스 앞 ,강서구,강서구 공항대로 607 ,37.54748535,126.8720245
2704,홈플러스(강서점),강서구,강서구 화곡로 398 ,37.55852127,126.8540115
2706,강서공업고등학교 앞,강서구,"강서구 방화대로47가길 22, 411동 앞",37.57631683,126.8164978
2707,한강아파트,강서구,강서구 허준로 23,37.57036972,126.8444138
2708,강서한강자이타워 앞,강서구,강서구 양천로 401 ,37.56468201,126.8489075
