점포이름,위도,경도
EX Bike,37.55484,126.866507
MAKE UP MTB,37.545804,126.844643
MTB자전거,37.57334,126.810867
레스포자전거,37.560179,126.845737
바이시클테크,37.560989,126.860038
바이크로,37.578181,126.819017
바이크리밍,37.547307,126.87693
삼천리 자전거 마곡나루점,37.567673,126.819563
삼천리 자전거 방화점,37.573384,126.810843
삼천리 자전거 은하코렉스,37.547391,126.848578
삼천리자전거 우장산점,37.553283,126.836887
썬바이크,37.568053,126.848959
윈윈바이크,37.558751,126.863691
유로휠강서점,37.557966,126.811362
자전거나라,37.569111,126.811804
자전거포강가,37.569204,126.842527
장수전기자전거,37.554498,126.817778
케이브221,37.55806,126.830813
향기바이크,37.56352,126.839364
휴먼,37.567648,126.80666
타고타고,37.545801,126.844684
강서 자전거 대여소 수리센터,33.4780991,124.8477157
