"순서","시설ID","컨텐츠 명","사용유무","테마 타입","x 좌표","y 좌표","좌표 배열","좌표타입","메인 이미지","새 주소","구 주소","우편번호","국가 지점 번호","테마 명","거리","업데이트 일","등록일","이미지 URL1","이미지 URL2","이미지 URL3","이미지 URL4","이미지 URL5","동영상 URL","음성파일 URL","평가 점수","평가자 인원","상세정보 이름 1","상세정보 값 1","상세정보 이름 2","상세정보 값 2","상세정보 이름 3","상세정보 값 3","상세정보 이름 4","상세정보 값 4","상세정보 이름 5","상세정보 값 5","상세정보 이름 6","상세정보 값 6","상세정보 이름 7","상세정보 값 7","상세정보 이름 8","상세정보 값 8","상세정보 이름 9","상세정보 값 9","상세정보 이름 10","상세정보 값 10"
"1","공덕전철역 2번출구"," 자전거 일반거치대","사용","일반","126.950519888","37.544413236","[]","Point","","서울특별시 마포구 마포대로 109","서울특별시 마포구 공덕동 467","04146","","자전거 편의시설","3120.858685","2022-01-18 10:36:34","2022-01-18 10:36:34","","","","","","","","","","운영시간 ","24시간","설치지역","지하철역|","상세위치","공덕전철역 2번출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수","20대(비지붕형)","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","마포구청 교통행정과","마포구청 교통행정과"
"2","동대문구_자전거보관대_120","_자전거보관대","사용","일반","127.066702319","37.588619210","[]","Point","","서울특별시 동대문구 망우로 82","서울특별시 동대문구 휘경동 44-4","02500","","자전거 편의시설","9520.550923","2022-01-11 10:58:17","2022-01-11 10:58:17","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|병원|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"3","강동구_수리센터_001","강동구자전거서비스센터","사용","일반","127.156898059","37.555645472","[]","Point","","서울특별시 강동구 동남로 918","서울특별시 강동구 고덕동 302","05225","","자전거 편의시설","18240.143011","2021-12-28 17:56:19","2021-12-28 17:32:00","","","","","","","","","","운영시간_화요일~일요일(09:00~18:00) 월요일 휴무","","설치지역","지하철역|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","상설|","공임비 무상 부품교체 실비","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"4","한강_수리센터_003","강서 자전거 대여소 수리센터","사용","일반","126.821932956","37.584379533","[]","Point","","","서울특별시 강서구 방화동 17-16","","다사40135410","자전거 편의시설","15409.567188","2022-01-25 16:09:15","2022-01-25 11:23:38","","","","","","","","","","운영시간","11:00 ~ 20:00 동절기 휴무(‘22년 2월 10일까지)","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"5","구로구_자전거주차장_002","개봉역 자전거주차장","사용","일반","126.859376898","37.495407277","[126.8593768982035537.49540727677393]","Point","","서울특별시 구로구 경인로40길 25","서울특별시 구로구 개봉동 175-8","08276","다사43374420","자전거 편의시설","13425.284583","2022-03-14 15:48:53","2022-03-14 15:48:53","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","상시","설치지역","지하철역|","상세위치(예 OO동 주민센터)","개봉역 2번 출구 앞","설치유형(*공기주입기와 주차장 만 선택하세요.)","수동식|","설치/이용가능대수(예 00대)","125대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","구로구 교통행정과","구로구 교통행정과"
"6","강서구_주차장001","개화역 자전거 주차장","사용","일반","126.797932918","37.577463423","[126.7979329184199637.57746342264756]","Point","","서울특별시 강서구 개화동로8길 19","서울특별시 강서구 개화동 663","07505","다사38005335","자전거 편의시설","17726.274528","2022-03-15 17:22:01","2022-03-15 17:22:01","","","","","","","","","","운영시간 (24시간)","자주식2단(458대)","설치지역","기타|개화역 환승센터 내|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"7","관악 공기주입기15","공기주입기","사용","일반","126.913417060","37.487483291","[126.9134170597160537.4874832908485]","Point","","서울특별시 관악구 난곡로 374","서울특별시 관악구 신림동 498","08702","다사48144329","자전거 편의시설","9814.667697","2022-03-03 15:49:27","2022-03-03 15:49:27","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(신대방역 1번축구 제방","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"8","11103419_1646282783967","공기주입기","사용","일반","127.035726052","37.615557247","[127.035726052252637.615557246543425]","Point","","서울특별시 강북구 오패산로30길 30","서울특별시 강북구 미아동 1356","01234","다사59025744","자전거 편의시설","7979.658108","2022-03-03 13:47:31","2022-03-03 13:47:31","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","경남아너스빌아파트(관리사무소)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"9","중랑구_공기주입기_26","공기주입기","사용","일반","127.090019795","37.597219683","[127.0900197951361337.59721968255482]","Point","","서울특별시 중랑구 망우로 336","서울특별시 중랑구 상봉동 81","02150","다사63805539","자전거 편의시설","11997.254801","2022-03-14 11:22:21","2022-03-14 11:22:21","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"10","중랑구_공기주입기_19","공기주입기","사용","일반","127.091463252","37.604030281","[127.091463252267737.60403028053322]","Point","","서울특별시 중랑구 봉화산로 162","서울특별시 중랑구 상봉동 483","02075","다사63935614","자전거 편의시설","12339.068639","2022-03-14 11:12:16","2022-03-14 11:12:16","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"11","중랑구_공기주입기_32","공기주입기","사용","일반","127.085867653","37.596612781","[127.0858676532063237.59661278093538]","Point","","서울특별시 중랑구 망우로 301-91","서울특별시 중랑구 상봉동 160-4","02098","다사63445532","자전거 편의시설","11581.533113","2022-03-14 11:28:14","2022-03-14 11:28:14","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"12","중랑구_공기주입기_39","공기주입기","사용","일반","127.107583713","37.606264493","[127.1075837132509637.606264493026565]","Point","","서울특별시 중랑구 송림길 147","서울특별시 중랑구 망우동 253-10","02062","다사65365638","자전거 편의시설","13940.244102","2022-03-14 11:35:24","2022-03-14 11:35:24","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
